Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Volatility
,BND,BND,BND,BND,BND,BND,,
2015-07-31,81.78,81.83,81.72,81.81,61.5,1589100,0.0,0.04
2015-08-03,81.7,81.85,81.64,81.83,61.64,2085800,0.0,0.04
2015-08-04,81.76,81.78,81.53,81.55,61.43,1007300,-0.0,0.04
2015-08-05,81.45,81.47,81.31,81.42,61.33,2097000,-0.0,0.04
2015-08-06,81.44,81.55,81.42,81.47,61.37,1173000,0.0,0.04
2015-08-07,81.6,81.71,81.55,81.64,61.5,1773800,0.0,0.03
2015-08-10,81.58,81.61,81.42,81.47,61.37,1173300,-0.0,0.03
2015-08-11,81.74,81.89,81.71,81.78,61.61,1424200,0.0,0.03
2015-08-12,81.92,82.03,81.73,81.75,61.58,1029700,-0.0,0.03
2015-08-13,81.67,81.75,81.55,81.58,61.45,845500,-0.0,0.03
2015-08-14,81.55,81.67,81.51,81.55,61.43,2279800,-0.0,0.03
2015-08-17,81.74,81.78,81.66,81.7,61.55,821900,0.0,0.03
2015-08-18,81.6,81.66,81.52,81.55,61.43,1083900,-0.0,0.03
2015-08-19,81.47,81.87,81.42,81.84,61.65,1356600,0.0,0.03
2015-08-20,81.87,81.97,81.84,81.91,61.7,1536900,0.0,0.03
2015-08-21,81.97,82.09,81.87,82.04,61.8,3459200,0.0,0.03
2015-08-24,82.3,82.43,81.93,82.02,61.79,4751800,-0.0,0.03
2015-08-25,81.92,81.92,81.6,81.75,61.58,5325500,-0.0,0.03
2015-08-26,81.54,81.74,81.35,81.4,61.32,2742500,-0.0,0.04
2015-08-27,81.37,81.62,81.35,81.51,61.4,2671000,0.0,0.04
2015-08-28,81.69,81.74,81.51,81.55,61.43,2723900,0.0,0.04
2015-08-31,81.68,81.7,81.43,81.44,61.35,3103700,-0.0,0.04
2015-09-01,81.39,81.54,81.34,81.47,61.5,2577700,0.0,0.04
2015-09-02,81.39,81.5,81.33,81.41,61.45,1934700,-0.0,0.03
2015-09-03,81.52,81.57,81.4,81.47,61.5,2503000,0.0,0.03
2015-09-04,81.61,81.7,81.48,81.67,61.65,1213800,0.0,0.03
2015-09-08,81.52,81.52,81.41,81.47,61.5,1194600,-0.0,0.04
2015-09-09,81.22,81.57,81.2,81.45,61.48,4265400,-0.0,0.03
2015-09-10,81.43,81.43,81.28,81.28,61.36,1889000,-0.0,0.03
