Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Volatility,Adj Close_scaled
,,,,,,,,,
2015-07-31,17.84,17.96,17.67,17.74,17.74,33339000.0,-0.0,0.45,0.01735136514416943
2015-08-03,17.75,17.78,17.14,17.33,17.33,38302500.0,-0.02,0.43,0.0164795441013864
2015-08-04,17.33,17.78,17.22,17.75,17.75,35287500.0,0.02,0.44,0.01737262907204219
2015-08-05,17.57,18.07,17.36,18.01,18.01,93214500.0,0.01,0.41,0.017925491196733864
2015-08-06,16.64,17.0,15.74,16.41,16.41,219357000.0,-0.09,0.49,0.014523262737092795
2015-08-07,16.24,16.25,15.89,16.17,16.17,76101000.0,-0.01,0.49,0.014012928468146637
2015-08-10,15.88,16.2,15.74,16.08,16.08,62788500.0,-0.01,0.49,0.013821553117291826
2015-08-11,15.81,15.95,15.63,15.82,15.82,63973500.0,-0.02,0.49,0.013268690992600151
2015-08-12,15.67,15.98,15.52,15.88,15.88,55920000.0,0.0,0.49,0.013396274559836694
2015-08-13,15.99,16.43,15.94,16.17,16.17,70338000.0,0.02,0.49,0.014012928468146637
2015-08-14,16.48,16.53,16.12,16.21,16.21,65472000.0,0.0,0.49,0.014097984179637663
2015-08-17,17.04,17.11,16.7,17.0,17.0,107650500.0,0.05,0.51,0.01577783448158544
2015-08-18,17.03,17.4,16.9,17.38,17.38,62925000.0,0.02,0.51,0.016585863740750186
2015-08-19,17.36,17.38,17.0,17.02,17.02,54064500.0,-0.02,0.47,0.01582036233733095
2015-08-20,16.8,16.97,16.13,16.15,16.15,73587000.0,-0.05,0.5,0.01397040061240112
2015-08-21,15.73,16.25,15.37,15.38,15.38,98853000.0,-0.05,0.53,0.012333078166198861
2015-08-24,13.52,15.43,13.0,14.59,14.59,143724000.0,-0.05,0.55,0.010653227864251085
2015-08-25,15.37,15.39,14.61,14.67,14.67,64909500.0,0.01,0.53,0.010823339287233138
2015-08-26,15.2,15.2,14.37,14.99,14.99,74445000.0,0.02,0.51,0.011503784979161349
2015-08-27,15.4,16.32,15.39,16.2,16.2,114840000.0,0.08,0.59,0.014076720251764905
2015-08-28,16.12,16.76,16.1,16.57,16.57,82705500.0,0.02,0.6,0.0148634855830569
2015-08-31,16.37,17.0,16.37,16.6,16.6,70503000.0,0.0,0.6,0.014927277366675176
2015-09-01,16.02,16.4,15.8,15.91,15.91,81822000.0,-0.04,0.61,0.013460066343454962
2015-09-02,16.35,16.53,15.99,16.51,16.51,69438000.0,0.04,0.62,0.014735902015820364
2015-09-03,16.8,16.81,16.33,16.37,16.37,62922000.0,-0.01,0.62,0.014438207025601769
2015-09-04,16.06,16.27,15.88,16.13,16.13,55338000.0,-0.01,0.53,0.01392787275665561
2015-09-08,16.34,16.61,16.27,16.54,16.54,47073000.0,0.03,0.54,0.014799693799438633
2015-09-09,16.8,16.95,16.55,16.59,16.59,50862000.0,0.0,0.54,0.014906013438802417
2015-09-10,16.48,16.71,16.36,16.57,16.57,40635000.0,-0.0,0.53,0.0148634855830569
2015-09-11,16.51,16.68,16.32,16.68,16.68,35262000.0,0.01,0.54,0.015097388789657228
2015-09-14,16.74,16.95,16.64,16.88,16.88,43363500.0,0.01,0.53,0.01552266734711236
2015-09-15,16.85,16.97,16.63,16.9,16.9,44002500.0,0.0,0.53,0.01556519520285787
2015-09-16,16.87,17.53,16.86,17.48,17.48,66256500.0,0.03,0.52,0.016798503019477763
2015-09-17,17.6,17.7,17.38,17.47,17.47,53787000.0,-0.0,0.51,0.016777239091604997
2015-09-18,17.2,17.59,17.17,17.37,17.37,56446500.0,-0.01,0.51,0.016564599812877435
2015-09-21,17.6,18.1,17.05,17.61,17.61,91803000.0,0.01,0.47,0.017074934081823593
2015-09-22,17.27,17.51,17.06,17.4,17.4,54966000.0,-0.01,0.44,0.016628391596495703
2015-09-23,17.46,17.47,17.17,17.4,17.4,39012000.0,0.0,0.39,0.016628391596495703
2015-09-24,17.3,17.56,17.08,17.54,17.54,51723000.0,0.01,0.39,0.0169260865867143
2015-09-25,17.77,17.79,17.08,17.13,17.13,56601000.0,-0.02,0.4,0.016054265543931277
2015-09-28,17.16,17.32,16.44,16.56,16.56,73516500.0,-0.03,0.32,0.014842221655184142
2015-09-29,16.7,16.98,16.36,16.44,16.44,55548000.0,-0.01,0.31,0.01458705452071107
2015-09-30,16.8,16.83,16.16,16.56,16.56,73944000.0,0.01,0.31,0.014842221655184142
2015-10-01,16.5,16.57,15.81,15.99,15.99,68595000.0,-0.03,0.3,0.013630177766437015
2015-10-02,15.71,16.51,15.66,16.5,16.5,66360000.0,0.03,0.29,0.014714638087947606
2015-10-05,16.59,16.66,16.28,16.41,16.41,55348500.0,-0.01,0.29,0.014523262737092795
2015-10-06,16.0,16.2,15.71,16.1,16.1,78378000.0,-0.02,0.29,0.013864080973037343
2015-10-07,15.78,15.85,15.27,15.46,15.46,102210000.0,-0.04,0.31,0.012503189589180914
2015-10-08,15.34,15.38,14.75,15.11,15.11,91998000.0,-0.02,0.31,0.011758952113634428
2015-10-09,14.73,14.96,14.56,14.71,14.71,92376000.0,-0.03,0.32,0.010908394998724164
2015-10-12,14.87,14.87,14.35,14.37,14.37,57544500.0,-0.02,0.33,0.010185421451050437
2015-10-13,14.22,14.83,14.08,14.62,14.62,77572500.0,0.02,0.33,0.010717019647869353
2015-10-14,14.71,14.73,14.36,14.46,14.46,46566000.0,-0.01,0.33,0.010376796801905251
2015-10-15,14.43,14.78,14.25,14.75,14.75,42663000.0,0.02,0.31,0.01099345071021519
2015-10-16,14.87,15.37,14.86,15.13,15.13,65017500.0,0.03,0.33,0.011801479969379945
2015-10-19,15.1,15.41,15.0,15.21,15.21,37618500.0,0.0,0.33,0.011971591392361997
2015-10-20,15.18,15.24,13.47,14.2,14.2,223500000.0,-0.07,0.38,0.009823934677213573
2015-10-21,14.13,14.32,13.92,14.01,14.01,62272500.0,-0.01,0.38,0.0094199200476312
2015-10-22,14.1,14.38,13.96,14.11,14.11,42378000.0,0.01,0.39,0.009632559326358765
2015-10-23,14.33,14.36,13.85,13.94,13.94,63532500.0,-0.01,0.38,0.009271072552521901
2015-10-26,14.09,14.39,14.0,14.35,14.35,50871000.0,0.03,0.4,0.010142893595304923
2015-10-27,14.32,14.47,13.83,14.02,14.02,52791000.0,-0.02,0.4,0.009441183975503954
2015-10-28,14.09,14.23,13.89,14.2,14.2,40929000.0,0.01,0.4,0.009823934677213573
2015-10-29,14.12,14.25,14.04,14.11,14.11,27075000.0,-0.01,0.4,0.009632559326358765
2015-10-30,14.03,14.11,13.59,13.8,13.8,66583500.0,-0.02,0.39,0.00897337756230331
2015-11-02,13.93,14.39,13.81,14.25,14.25,58918500.0,0.03,0.39,0.009930254316577358
2015-11-03,14.26,14.3,13.85,13.89,13.89,124987500.0,-0.03,0.4,0.00916475291315812
2015-11-04,15.13,15.52,15.01,15.44,15.44,190896000.0,0.11,0.57,0.012460661733435397
2015-11-05,15.37,15.64,15.28,15.45,15.45,67452000.0,0.0,0.55,0.012481925661308155
2015-11-06,15.38,15.56,15.3,15.49,15.49,36679500.0,0.0,0.55,0.012566981372799182
2015-11-09,15.53,15.53,14.95,15.02,15.02,57763500.0,-0.03,0.55,0.011567576762779617
2015-11-10,14.9,14.91,14.41,14.43,14.43,69255000.0,-0.04,0.56,0.010313005018286976
2015-11-11,14.52,14.63,14.24,14.61,14.61,50217000.0,0.01,0.56,0.010695755719996598
2015-11-12,14.52,14.6,14.18,14.2,14.2,43738500.0,-0.03,0.57,0.009823934677213573
2015-11-13,14.2,14.2,13.77,13.81,13.81,51454500.0,-0.03,0.57,0.008994641490176068
2015-11-16,13.74,14.33,13.72,14.29,14.29,43881000.0,0.03,0.58,0.010015310028068384
2015-11-17,14.35,14.4,14.09,14.27,14.27,32230500.0,-0.0,0.58,0.00997278217232287
2015-11-18,14.3,14.76,14.17,14.74,14.74,42178500.0,0.03,0.54,0.010972186782342432
2015-11-19,14.7,15.08,14.69,14.79,14.79,37566000.0,0.0,0.54,0.011078506421706217
2015-11-20,14.9,15.0,14.24,14.67,14.67,66010500.0,-0.01,0.54,0.010823339287233138
2015-11-23,14.49,14.61,14.31,14.52,14.52,37893000.0,-0.01,0.54,0.010504380369141787
2015-11-24,14.36,14.73,14.33,14.55,14.55,37204500.0,0.0,0.53,0.010568172152760059
2015-11-25,14.76,15.39,14.69,15.31,15.31,59862000.0,0.05,0.55,0.012184230671089567
2015-11-27,15.4,15.48,15.13,15.44,15.44,29241000.0,0.01,0.55,0.012460661733435397
2015-11-30,15.45,15.62,15.27,15.35,15.35,39897000.0,-0.01,0.55,0.012269286382580593
2015-12-01,15.4,15.87,15.4,15.81,15.81,56010000.0,0.03,0.54,0.0132474270647274
2015-12-02,15.8,15.91,15.42,15.47,15.47,44722500.0,-0.02,0.54,0.012524453517053672
2015-12-03,15.7,15.83,15.33,15.51,15.51,44094000.0,0.0,0.53,0.012609509228544698
2015-12-04,15.5,15.55,15.18,15.36,15.36,38604000.0,-0.01,0.37,0.012290550310453344
2015-12-07,15.18,15.71,15.08,15.41,15.41,47163000.0,0.0,0.37,0.012396869949817129
2015-12-08,15.17,15.25,14.95,15.11,15.11,40314000.0,-0.02,0.38,0.011758952113634428
2015-12-09,15.11,15.17,14.71,14.97,14.97,45867000.0,-0.01,0.36,0.011461257123415839
2015-12-10,14.98,15.23,14.91,15.14,15.14,31075500.0,0.01,0.34,0.011822743897252703
2015-12-11,15.02,15.05,14.44,14.47,14.47,49030500.0,-0.04,0.37,0.010398060729778006
2015-12-14,14.5,14.73,14.32,14.57,14.57,42406500.0,0.01,0.36,0.010610700008505572
